job_id,arrival_time,runtime,cpu_demand,mem_demand,priority,deadline_time
0,1.0,1.125,0.9639537928525144,0.9363992281874411,1,3.60780602570034
1,2.0,3.032,0.20265359696838636,0.20181402410986377,0,12.00489923069503
2,3.0,1.0,1.0,0.9744400826428787,0,5.310958999623563
3,4.0,2.618,0.530712827327438,0.5367570858710109,1,11.748425605146988
4,5.0,5.812,0.5077352145256762,0.5327314937943878,2,13.243315128900992
5,6.0,1.388,0.49534103023684356,0.5534576682625201,0,9.22752777370529
6,8.0,3.244,0.2171138648198097,0.28666028767205587,0,15.54815537952739
7,9.0,2.332,0.9729048071964105,0.925136039024646,2,12.106413190367645
8,11.0,4.432,0.24992312594922772,0.3115493046218724,1,18.597810333258835
9,13.0,5.196,0.5397822883602477,0.48390408082246356,2,21.627848484137203
10,14.0,2.312,0.21599820017224503,0.27887699415941236,0,21.381795358104647
11,15.0,2.881,1.0,0.9383282788773899,2,20.604866243664713
12,16.0,1.0,1.0,1.0,0,18.52677810150218
13,18.0,5.72,0.2507662881977634,0.2018257762823573,1,27.966090726762054
14,20.0,4.662,0.45194767423858323,0.5686557786023387,2,26.70519393788993
15,21.0,2.172,0.24859904633166138,0.18107400295494136,0,28.648055805877412
16,22.0,5.08,0.24231379402008868,0.20388771287073312,1,35.18207474646562
17,23.0,4.764,0.5399614084642945,0.4922377826225808,2,28.35062793614099
18,24.0,2.144,0.2631102957270099,0.2066306854097847,0,32.17044101577028
19,25.0,1.0,1.0,1.0,0,28.1524232994418
20,26.0,4.882,0.4923578623019921,0.494723946885868,2,36.65536401807751
21,27.0,1.409,0.9748656333920286,0.9504334253505299,1,30.005146845790016
22,28.0,5.652,0.20979087282016004,0.2743431830397635,1,36.603117107370124
23,30.0,2.496,0.4713747299199182,0.48416644680791243,1,35.16287535744957
24,31.0,2.292,0.5196591503600163,0.5368808507864745,1,36.71351357048666
25,32.0,3.184,0.25421952013742743,0.2896760896606503,0,38.732028457874854
26,34.0,2.082,0.9568521332703792,0.9308737381401212,2,38.44664345058006
27,35.0,1.0,0.9919224915335872,1.0,0,38.04556543106392
28,37.0,4.268,0.2645500788837649,0.2431559316112723,1,49.39257090822176
29,38.0,2.148,0.22131543122670405,0.21243206636006423,0,46.305282287860976
30,39.0,5.44,0.511167776572595,0.5779572901810407,2,49.87355114453092
31,40.0,1.0,1.0,1.0,0,42.310895819549984
32,41.0,2.516,0.4751121252069894,0.5653054473949715,1,47.1677895041449
33,42.0,1.652,0.46615819762738864,0.4906936818977361,0,47.63552524409501
34,44.0,1.0,1.0,1.0,0,46.296187571134965
35,46.0,1.92,0.4710076538339754,0.4599247582756679,0,50.23472750721966
36,47.0,1.0,1.0,1.0,0,50.621543439880796
37,49.0,5.64,0.28640640283752794,0.29971989065190224,1,64.12118834728608
38,51.0,1.204,0.48496584244459184,0.5512858209554499,0,55.506145870358125
39,52.0,1.99,0.48511461290827523,0.501504908084486,0,58.68448211107385
40,53.0,4.364,0.2962534315761556,0.21247461800367498,1,62.39065436356416
41,54.0,4.236,0.53995047329112,0.45041260392036736,2,61.08222085618086
42,56.0,11.016,0.21970351291017343,0.2390075839399979,2,75.6687479955666
43,57.0,2.518,0.516689290410573,0.472189264777184,1,62.87101592814748
44,58.0,2.924,1.0,0.9681519799304904,2,62.139229278937215
45,59.0,4.658,0.4941786016837953,0.5281003573104159,2,69.04178722047114
46,61.0,5.052,0.2632940855765796,0.22363012086556816,1,74.27012480628366
47,62.0,1.0,1.0,1.0,0,65.5369786780004
48,63.0,2.506,0.47439844395784386,0.5249692817778855,1,69.58187546760884
49,64.0,3.644,0.25179577504437406,0.17803494162250255,0,73.10415706216187
50,66.0,5.218,0.5450039608443156,0.5626281481296699,2,74.6371257104591
51,68.0,1.76,0.4950069757246908,0.5402842858400818,0,74.47631736520356
52,69.0,4.156,0.22857281508631525,0.21347441713314952,1,78.60130895518006
53,70.0,2.219,0.9914867895898218,0.9729410225660934,2,74.4739040552432
54,71.0,8.08,0.23803810289277116,0.1709433733734389,2,87.4734453846582
55,73.0,11.008,0.27998681709412676,0.3136498155838712,2,90.98934177450728
56,74.0,1.37,1.0,1.0,1,77.1526240586893
57,75.0,1.658,0.4635699487230564,0.4938717510482419,0,78.48274384464828
58,76.0,2.284,0.47522715317823805,0.4331049972418628,1,81.2740496581826
59,77.0,2.041,1.0,0.9518977091780053,2,79.52847871069008
60,78.0,2.952,0.22562436965621865,0.22902322789167062,0,87.48119045687608
61,80.0,4.22,0.2025678425497466,0.21991315910315123,1,92.39523406584331
62,82.0,11.4,0.22428493805371322,0.2815508803993235,2,104.64132066412293
63,84.0,2.708,0.24283780132347443,0.229291340194889,0,92.15628363689106
