job_id,arrival_time,runtime,cpu_demand,mem_demand,priority,deadline_time,scenario_id,job_class
0,0,2.00786,0.138176,0.213065,2,2.951822,scenario_000,short
1,0,2.296102,0.498972,0.608058,1,7.194423,scenario_000,short
2,0,1.989737,0.297408,0.63898,0,5.360657,scenario_000,short
3,0,1.445214,0.596819,0.442129,1,3.797115,scenario_000,short
4,0,1.966746,0.201782,0.345007,2,3.66849,scenario_000,short
5,0,1.376375,0.592824,0.630623,0,5.982825,scenario_000,short
6,0,1.580791,0.620694,1.0,1,3.01462,scenario_000,short
7,0,1.201603,0.366832,0.265585,1,3.761603,scenario_000,short
8,0,14.948067,0.280095,0.229191,2,29.235466,scenario_000,medium
9,1,1.645596,0.401204,0.661365,2,3.103114,scenario_000,short
10,1,1.821279,0.398973,0.366442,0,6.743069,scenario_000,short
11,1,21.784089,0.894356,0.972033,0,83.466629,scenario_000,long
12,1,1.439528,0.550669,0.677924,2,3.726206,scenario_000,short
13,1,1.363643,0.219431,0.409615,0,5.545417,scenario_000,short
14,1,2.12492,0.126084,0.54596,0,10.012798,scenario_000,short
15,1,1.394333,0.135499,0.097991,0,6.700702,scenario_000,short
16,1,0.906452,0.448169,0.446061,2,2.528992,scenario_000,short
17,1,1.958793,0.283671,0.365145,0,6.688487,scenario_000,short
18,1,1.934183,0.097955,0.173445,0,8.140489,scenario_000,short
19,1,2.17698,0.635423,0.602383,2,3.67199,scenario_000,short
20,1,1.450756,0.15608,0.454621,0,7.074064,scenario_000,short
21,2,1.96628,0.625828,1.0,0,7.000648,scenario_000,short
22,2,13.151951,0.564739,0.787042,2,23.783969,scenario_000,medium
23,2,12.447079,0.621213,0.760347,0,39.717131,scenario_000,medium
24,2,1.619738,0.111821,0.441809,2,3.917899,scenario_000,short
25,2,15.241578,1.0,0.895235,1,35.605985,scenario_000,medium
26,2,8.833176,0.638612,0.580716,2,16.555565,scenario_000,medium
27,2,9.959728,0.380738,0.396929,0,38.628968,scenario_000,medium
28,2,2.504349,0.337772,0.720446,0,9.90791,scenario_000,short
29,2,14.239842,0.305571,0.547623,2,27.286779,scenario_000,medium
30,2,12.985727,0.720491,0.665257,1,33.104438,scenario_000,medium
31,2,1.604988,0.589609,0.607336,2,4.957535,scenario_000,short
32,2,9.473647,0.453439,0.465593,1,21.429843,scenario_000,medium
33,3,2.255108,0.370567,0.568956,2,6.872335,scenario_000,short
34,3,11.92886,0.448723,0.74185,1,36.939579,scenario_000,medium
35,3,1.895374,0.348922,0.567738,2,6.415776,scenario_000,short
36,3,1.64701,0.521346,0.65178,2,6.056559,scenario_000,short
37,3,1.336576,0.35139,0.503584,1,6.500763,scenario_000,short
38,3,1.475304,0.431395,0.351774,0,8.559127,scenario_000,short
39,3,1.621861,0.060841,0.329955,0,8.162819,scenario_000,short
40,3,8.667411,0.839631,0.630081,0,36.138401,scenario_000,medium
41,3,17.183982,0.894862,0.606341,1,38.80527,scenario_000,medium
42,3,14.298448,0.484348,0.468533,0,39.990371,scenario_000,medium
43,3,1.551282,0.080399,0.145441,2,5.646549,scenario_000,short
44,4,8.715404,0.693374,1.0,0,41.293511,scenario_000,medium
45,4,15.30297,0.574899,0.597888,0,49.524764,scenario_000,medium
46,4,8.798775,0.403956,0.477257,2,16.382194,scenario_000,medium
47,4,1.490513,0.097822,0.485352,2,7.051323,scenario_000,short
48,4,1.623093,0.372507,0.686505,1,8.463658,scenario_000,short
49,4,2.32585,0.399088,0.575145,2,7.709255,scenario_000,short
50,4,10.968915,0.734967,0.645214,0,48.419964,scenario_000,medium
51,4,2.042673,0.259029,0.405547,0,11.692069,scenario_000,short
52,4,1.546815,0.557625,0.314362,1,7.380601,scenario_000,short
53,4,2.302618,0.231613,0.498371,1,11.088579,scenario_000,short
54,4,1.861576,0.413365,0.249263,2,7.12325,scenario_000,short
55,4,1.13251,0.329893,0.543903,0,7.594942,scenario_000,short
56,4,2.384803,0.430315,0.787432,1,10.406249,scenario_000,short
57,4,7.284137,0.500871,0.360959,1,25.65527,scenario_000,medium
58,4,1.96544,0.428077,0.458275,0,12.759862,scenario_000,short
59,4,2.807501,0.313064,0.274865,2,8.853347,scenario_000,short
60,4,7.800117,0.676604,0.596178,1,20.483951,scenario_000,medium
61,4,1.852629,0.087284,0.671771,1,9.14431,scenario_000,short
62,4,1.065234,0.779914,0.777366,2,6.071964,scenario_000,short
63,4,2.136295,0.423699,0.486826,1,10.77027,scenario_000,short
64,4,1.3369,0.18805,0.284736,0,9.236751,scenario_000,short
65,4,1.140806,0.067459,0.327496,1,7.332894,scenario_000,short
66,4,18.323885,0.626718,0.787376,1,48.266974,scenario_000,long
67,4,9.97382,0.212617,0.389165,1,33.568788,scenario_000,medium
68,4,16.785454,0.309997,0.697512,1,55.376572,scenario_000,medium
69,4,24.263213,0.323832,0.467958,2,33.196105,scenario_000,long
70,5,1.413224,0.188226,0.664507,0,9.660523,scenario_000,short
71,5,1.412568,0.279925,0.408985,0,10.165204,scenario_000,short
72,5,13.747608,0.483844,0.553252,1,36.21258,scenario_000,medium
73,5,14.788974,0.552557,0.666788,1,37.68497,scenario_000,medium
74,5,1.984006,0.472924,0.311924,2,8.259654,scenario_000,short
75,5,15.440508,0.614814,0.731168,0,73.594646,scenario_000,medium
76,5,1.398236,0.055567,0.218158,1,9.088227,scenario_000,short
77,5,8.540753,0.135015,0.527795,2,21.963735,scenario_000,medium
78,5,1.70665,0.751661,0.934977,1,9.801912,scenario_000,short
79,5,9.651557,0.212714,0.190664,2,16.497614,scenario_000,medium
80,5,1.158804,0.7636,0.822521,0,8.374396,scenario_000,short
81,5,2.252918,0.315107,0.286047,0,11.275469,scenario_000,short
82,5,1.545011,0.634767,0.592331,0,9.316048,scenario_000,short
83,5,1.24141,0.457808,0.526993,2,7.034228,scenario_000,short
84,6,1.854265,0.160006,0.234748,1,10.471265,scenario_000,short
85,6,2.588419,0.357585,0.551352,0,14.696455,scenario_000,short
86,6,1.636807,0.630467,0.737503,2,9.106158,scenario_000,short
87,6,1.911335,0.470258,0.590478,2,9.898589,scenario_000,short
88,6,1.557746,0.135096,0.0774,0,12.302614,scenario_000,short
89,6,1.999263,0.060502,0.551155,0,12.415565,scenario_000,short
90,6,2.440557,0.568607,0.743628,0,13.97772,scenario_000,short
91,6,17.42782,0.410327,0.831919,1,47.741688,scenario_000,medium
92,6,1.976896,0.591587,0.857999,1,9.541317,scenario_000,short
93,6,1.567523,0.35414,0.391468,2,8.531907,scenario_000,short
94,6,19.889868,0.46404,0.59798,2,40.25239,scenario_000,medium
95,6,15.541184,0.473323,0.414344,0,50.588437,scenario_000,medium
96,6,1.323979,0.794214,1.0,0,10.936863,scenario_000,short
